TOUCHPOINT_ID,CUSTOMER_ID,SESSION_ID,TOUCHPOINT_TIMESTAMP,TOUCHPOINT_TYPE,CHANNEL,CAMPAIGN_ID,PAGES_VIEWED,CART_ADDITIONS,CART_VALUE,CONVERTED_FLAG,TRANSACTION_ID,DEVICE_TYPE,STORE_ID
1000,78,S100007,2024-07-14,Store Visit,Walk-in,N/A,4,5,229.99,True,100007.0,InStore,1005.0
1001,22,S100093,2024-07-15,Store Visit,Walk-in,N/A,1,3,184.98,True,100093.0,InStore,1047.0
1002,28,S100040,2024-07-17,Store Visit,Walk-in,N/A,10,1,879.95,True,100040.0,InStore,1002.0
1003,86,S100090,2024-07-29,Store Visit,Walk-in,N/A,9,4,149.99,True,100090.0,InStore,1036.0
1004,48,S100166,2024-08-21,Store Visit,Walk-in,N/A,3,5,49.99,True,100166.0,InStore,1023.0
1005,85,S100059,2024-07-22,Store Visit,Walk-in,N/A,4,3,159.99,True,100059.0,InStore,1020.0
1006,100,S100065,2024-07-29,Store Visit,Walk-in,N/A,8,1,139.99,True,100065.0,InStore,1047.0
1007,59,S100101,2024-07-03,Store Visit,Walk-in,N/A,9,0,59.99,True,100101.0,InStore,1045.0
1008,93,S100103,2024-07-21,Store Visit,Walk-in,N/A,6,4,69.99,True,100103.0,InStore,1020.0
1009,11,S100079,2024-07-27,Store Visit,Walk-in,N/A,4,2,259.98,True,100079.0,InStore,1030.0
1010,56,S100080,2024-07-03,Store Visit,Walk-in,N/A,9,1,44.99,True,100080.0,InStore,1044.0
1011,73,S100183,2024-08-29,Store Visit,Walk-in,N/A,8,5,269.97,True,100183.0,InStore,1016.0
1012,84,S100186,2024-08-03,Store Visit,Walk-in,N/A,8,2,74.99,True,100186.0,InStore,1029.0
1013,29,S100193,2024-08-08,Store Visit,Walk-in,126.0,5,5,169.99,True,100193.0,InStore,1002.0
1014,59,S100207,2024-08-21,Store Visit,Walk-in,N/A,4,3,229.99,True,100207.0,InStore,1025.0
1015,46,S100208,2024-08-25,Store Visit,Walk-in,N/A,4,2,44.99,True,100208.0,InStore,1016.0
1016,28,S100209,2024-08-30,Store Visit,Walk-in,N/A,2,5,59.99,True,100209.0,InStore,1038.0
1017,81,S100213,2024-08-13,Store Visit,Walk-in,N/A,9,3,209.97,True,100213.0,InStore,1028.0
1018,28,S100221,2024-08-06,Store Visit,Walk-in,N/A,10,2,154.97,True,100221.0,InStore,1002.0
1019,46,S100232,2024-08-12,Store Visit,Walk-in,N/A,9,0,42.99,True,100232.0,InStore,1020.0
1020,35,S100244,2024-08-25,Store Visit,Walk-in,N/A,8,4,139.99,True,100244.0,InStore,1005.0
1021,1,S100253,2024-08-05,Store Visit,Walk-in,N/A,2,5,229.98,True,100253.0,InStore,1022.0
1022,64,S100257,2024-08-18,Store Visit,Walk-in,N/A,1,0,279.98,True,100257.0,InStore,1009.0
1023,27,S100275,2024-08-31,Store Visit,Walk-in,N/A,9,5,184.98,True,100275.0,InStore,1027.0
1024,2,S100290,2024-08-03,Store Visit,Walk-in,N/A,6,2,334.96,True,100290.0,InStore,1004.0
1025,73,S100301,2024-08-30,Store Visit,Walk-in,N/A,4,3,279.98,True,100301.0,InStore,1021.0
1026,18,S100361,2024-09-13,Store Visit,Walk-in,N/A,2,3,94.99,True,100361.0,InStore,1044.0
1027,91,S100365,2024-09-14,Store Visit,Walk-in,N/A,4,3,84.99,True,100365.0,InStore,1019.0
1028,22,S100376,2024-09-03,Store Visit,Walk-in,N/A,7,4,94.99,True,100376.0,InStore,1037.0
1029,30,S100387,2024-09-13,Store Visit,Walk-in,N/A,1,5,94.99,True,100387.0,InStore,1028.0
1030,39,S100409,2024-09-15,Store Visit,Walk-in,N/A,4,3,244.97,True,100409.0,InStore,1032.0
1031,2,S100413,2024-09-30,Store Visit,Walk-in,N/A,5,5,459.97,True,100413.0,InStore,1003.0
1032,59,S100470,2024-09-06,Store Visit,Walk-in,N/A,7,1,304.96,True,100470.0,InStore,1028.0
1033,64,S100192,2024-08-22,Store Visit,Walk-in,N/A,9,2,279.98,True,100192.0,InStore,1046.0
1034,30,S100217,2024-08-11,Store Visit,Walk-in,N/A,2,4,44.99,True,100217.0,InStore,1024.0
1035,36,S100370,2024-09-30,Store Visit,Walk-in,N/A,1,5,94.99,True,100370.0,InStore,1004.0
1036,55,S100389,2024-09-19,Store Visit,Walk-in,127.0,10,3,74.99,True,100389.0,InStore,1037.0
1037,6,S100396,2024-09-23,Store Visit,Walk-in,N/A,1,5,149.97,True,100396.0,InStore,1038.0
1038,61,S100430,2024-09-05,Store Visit,Walk-in,N/A,7,2,134.99,True,100430.0,InStore,1002.0
1039,44,S100443,2024-09-29,Store Visit,Walk-in,N/A,4,1,369.97,True,100443.0,InStore,1012.0
1040,100,S100472,2024-09-02,Store Visit,Walk-in,127.0,5,2,212.98,True,100472.0,InStore,1047.0
1041,77,S100475,2024-09-06,Store Visit,Walk-in,N/A,1,2,169.98,True,100475.0,InStore,1019.0
