TRANSACTION_ID,CUSTOMER_ID,ORDER_DATE,CHANNEL,STORE_ID,PAYMENT_METHOD,CARD_BANK,SUBTOTAL,DISCOUNT_AMOUNT,TAX_AMOUNT,SHIPPING_AMOUNT,TOTAL_AMOUNT,PROMO_CODE_USED,DEVICE_TYPE,FULFILLMENT_METHOD,RETURN_FLAG
100007,78,2024-07-14,Store,1005,Credit Card,,229.99,2.30,4.3,0.00,231.99,,,In-Store,false
100093,22,2024-07-15,Store,1047,Credit Card,,184.98,0.00,11.5,0.00,196.48,,,In-Store,false
100040,28,2024-07-17,Store,1002,Debit Card,,879.95,67.90,2.8,0.00,814.85,,,In-Store,false
100090,86,2024-07-29,Store,1036,Credit Card,,149.99,0.00,12.7,0.00,162.69,,,In-Store,false
100166,48,2024-08-21,Store,1023,PayPal,,49.99,3.00,4.8,0.00,51.79,,,In-Store,false
100059,85,2024-07-22,Store,1020,Credit Card,,159.99,9.60,12.7,0.00,163.09,,,In-Store,false
100065,100,2024-07-29,Store,1047,Credit Card,,139.99,0.00,9.7,0.00,149.69,,,In-Store,false
100101,59,2024-07-03,Store,1045,Google Pay,,59.99,0.00,8.0,0.00,67.99,,,In-Store,false
100103,93,2024-07-21,Store,1020,Google Pay,,69.99,0.00,5.8,0.00,75.79,,,In-Store,false
100079,11,2024-07-27,Store,1030,Credit Card,,259.98,0.00,6.2,0.00,266.18,,,In-Store,false
100080,56,2024-07-03,Store,1044,PayPal,,44.99,2.25,5.2,0.00,47.94,,,In-Store,false
100183,73,2024-08-29,Store,1016,Credit Card,,269.97,20.00,7.4,0.00,257.37,,,In-Store,false
100186,84,2024-08-03,Store,1029,Credit Card,,74.99,3.75,5.0,0.00,76.24,,,In-Store,false
100193,29,2024-08-08,Store,1002,Credit Card,,169.99,13.60,4.9,0.00,161.29,,,In-Store,false
100207,59,2024-08-21,Store,1025,Credit Card,,229.99,0.00,15.8,0.00,245.79,,,In-Store,false
100208,46,2024-08-25,Store,1016,Credit Card,,44.99,0.45,9.4,0.00,53.94,,,In-Store,false
100209,28,2024-08-30,Store,1038,Apple Pay,,59.99,1.80,6.2,0.00,64.39,,,In-Store,false
100213,81,2024-08-13,Store,1028,Credit Card,,209.97,0.00,2.6,0.00,212.57,,,In-Store,false
100221,28,2024-08-06,Store,1002,Credit Card,,154.97,2.40,4.2,0.00,156.77,,,In-Store,false
100232,46,2024-08-12,Store,1020,PayPal,,42.99,3.01,3.6,0.00,43.58,,,In-Store,false
100244,35,2024-08-25,Store,1005,Google Pay,,139.99,9.80,3.9,0.00,134.09,,,In-Store,false
100253,1,2024-08-05,Store,1022,Credit Card,,229.98,0.00,5.7,0.00,235.68,,,In-Store,false
100257,64,2024-08-18,Store,1009,Debit Card,,279.98,0.00,2.6,0.00,282.58,,,In-Store,false
100275,27,2024-08-31,Store,1027,Google Pay,,184.98,9.50,5.6,0.00,181.08,,,In-Store,false
100290,2,2024-08-03,Store,1004,Credit Card,,334.96,6.45,6.6,0.00,335.11,,,In-Store,false
100301,73,2024-08-30,Store,1021,Credit Card,,279.98,0.00,2.7,0.00,282.68,,,In-Store,false
100361,18,2024-09-13,Store,1044,Credit Card,,94.99,0.00,7.6,0.00,102.59,,,In-Store,false
100365,91,2024-09-14,Store,1019,Credit Card,,84.99,8.50,5.0,0.00,81.49,,,In-Store,false
100376,22,2024-09-03,Store,1037,Credit Card,,94.99,0.00,3.9,0.00,98.89,,,In-Store,false
100387,30,2024-09-13,Store,1028,Credit Card,,94.99,0.00,4.4,0.00,99.39,,,In-Store,false
100409,39,2024-09-15,Store,1032,Credit Card,,244.97,1.80,2.5,0.00,245.67,,,In-Store,false
100413,2,2024-09-30,Store,1003,Credit Card,,459.97,7.10,4.3,0.00,457.17,,,In-Store,false
100470,59,2024-09-06,Store,1028,Credit Card,,304.96,5.40,15.9,0.00,315.46,,,In-Store,false
100192,64,2024-08-22,Store,1046,Credit Card,,279.98,0.00,3.7,0.00,283.68,,,In-Store,false
100217,30,2024-08-11,Store,1024,Apple Pay,,44.99,0.00,4.9,0.00,49.89,,,In-Store,false
100370,36,2024-09-30,Store,1004,Credit Card,,94.99,1.90,7.0,0.00,100.09,,,In-Store,false
100389,55,2024-09-19,Store,1037,Credit Card,,74.99,0.00,5.2,0.00,80.19,,,In-Store,false
100396,6,2024-09-23,Store,1038,Credit Card,,149.97,6.00,7.7,0.00,151.67,,,In-Store,false
100430,61,2024-09-05,Store,1002,Credit Card,,134.99,9.45,8.2,0.00,133.74,,,In-Store,false
100443,44,2024-09-29,Store,1012,Credit Card,,369.97,0.00,14.2,0.00,384.17,,,In-Store,false
100472,100,2024-09-02,Store,1047,Credit Card,,212.98,1.29,14.8,0.00,226.49,,,In-Store,false
100475,77,2024-09-06,Store,1019,Apple Pay,,169.98,8.50,3.3,0.00,164.78,,,In-Store,false
100478,40,2024-09-30,Store,1007,Google Pay,,209.98,0.00,9.8,0.00,219.78,,,In-Store,false
100537,69,2024-10-01,Store,1026,Credit Card,,89.99,0.00,14.4,0.00,104.39,,,In-Store,false
100542,92,2024-10-24,Store,1017,Credit Card,,94.99,0.00,4.7,0.00,99.69,,,In-Store,false
100559,91,2024-10-17,Store,1021,PayPal,,159.99,0.00,6.4,0.00,166.39,,,In-Store,false
100575,53,2024-10-07,Store,1046,Credit Card,,269.98,5.50,3.9,0.00,268.38,,,In-Store,false
100582,77,2024-10-10,Store,1018,Debit Card,,429.98,0.00,7.7,0.00,437.68,,,In-Store,false
100588,70,2024-10-04,Store,1046,Credit Card,,129.99,0.00,5.0,0.00,134.99,,,In-Store,false
100606,70,2024-10-02,Store,1046,Credit Card,,317.96,13.00,6.7,0.00,311.66,,,In-Store,false
100608,54,2024-10-17,Store,1037,Credit Card,,89.99,7.20,7.8,0.00,90.59,,,In-Store,false
100615,9,2024-10-11,Store,1036,Google Pay,,274.97,0.00,5.5,0.00,280.47,,,In-Store,false
100623,60,2024-10-06,Store,1012,Credit Card,,154.98,7.00,3.9,0.00,151.88,,,In-Store,false
100624,54,2024-10-14,Store,1031,Credit Card,,99.99,0.00,6.6,0.00,106.59,,,In-Store,false
100632,18,2024-10-06,Store,1040,Credit Card,,299.98,0.00,14.4,0.00,314.38,,,In-Store,false
100645,37,2024-10-22,Store,1025,Credit Card,,99.99,20.00,11.0,0.00,90.99,,,In-Store,false
100652,59,2024-10-23,Store,1025,Credit Card,,229.99,0.00,6.8,0.00,236.79,,,In-Store,false
100654,59,2024-10-05,Store,1045,Credit Card,,84.99,0.00,9.4,0.00,94.39,,,In-Store,false
100662,38,2024-10-07,Store,1003,Credit Card,,309.98,0.00,3.6,0.00,313.58,,,In-Store,false
100665,12,2024-10-08,Store,1047,Credit Card,,494.97,27.40,4.5,0.00,472.07,,,In-Store,false
100744,91,2024-11-18,Store,1015,Credit Card,,319.97,6.30,3.8,0.00,317.47,,,In-Store,false
100757,14,2024-11-10,Store,1024,Credit Card,,109.98,1.40,10.0,0.00,118.58,,,In-Store,false
100763,30,2024-11-13,Store,1028,Credit Card,,599.98,0.00,13.3,0.00,613.28,,,In-Store,false
100767,90,2024-11-01,Store,1003,Credit Card,,44.99,0.90,6.8,0.00,50.89,,,In-Store,false
100768,24,2024-11-25,Store,1032,Credit Card,,129.99,16.90,2.7,0.00,115.79,,,In-Store,false
100787,38,2024-11-03,Store,1038,Credit Card,,129.99,0.00,13.8,0.00,143.79,,,In-Store,false
100793,49,2024-11-05,Store,1039,Credit Card,,354.97,0.00,6.9,0.00,361.87,,,In-Store,false
100803,78,2024-11-04,Store,1043,Credit Card,,319.97,15.60,11.4,0.00,315.77,,,In-Store,false
100811,31,2024-11-26,Store,1010,Credit Card,,299.99,0.00,12.7,0.00,312.69,,,In-Store,false
100843,75,2024-11-07,Store,1038,Credit Card,,89.99,7.20,3.6,0.00,86.39,,,In-Store,false
100849,91,2024-11-05,Store,1020,Google Pay,,374.96,9.20,4.2,0.00,369.96,,,In-Store,false
100851,70,2024-11-28,Store,1039,Credit Card,,119.98,22.20,3.1,0.00,100.88,,,In-Store,false
100856,28,2024-11-14,Store,1004,Credit Card,,49.99,3.50,4.5,0.00,50.99,,,In-Store,false
100861,78,2024-11-27,Store,1005,Credit Card,,84.99,0.00,3.1,0.00,88.09,,,In-Store,false
100873,42,2024-11-21,Store,1004,Credit Card,,289.96,35.20,14.6,0.00,269.36,,,In-Store,false
100949,72,2024-12-29,Store,1016,Credit Card,,229.99,6.90,2.5,0.00,225.59,,,In-Store,false
100970,97,2024-12-05,Store,1047,Credit Card,,169.98,3.40,11.3,0.00,177.88,,,In-Store,false
100976,32,2024-12-12,Store,1012,Credit Card,,159.99,3.20,13.5,0.00,170.29,,,In-Store,false
100988,57,2024-12-22,Store,1025,Google Pay,,434.98,27.00,9.9,0.00,417.88,,,In-Store,false
101035,81,2024-12-06,Store,1045,Credit Card,,299.99,0.00,6.8,0.00,306.79,,,In-Store,false
101039,10,2024-12-19,Store,1011,Credit Card,,679.96,65.55,5.1,0.00,619.51,,,In-Store,false
101054,22,2024-12-19,Store,1030,Credit Card,,129.99,0.00,5.3,0.00,135.29,,,In-Store,false
100554,21,2024-10-22,Store,1041,Credit Card,,34.99,3.15,10.1,0.00,41.94,,,In-Store,false
100590,95,2024-10-04,Store,1043,Credit Card,,69.99,0.00,6.8,0.00,76.79,,,In-Store,false
100602,38,2024-10-12,Store,1004,Debit Card,,99.99,13.00,11.1,0.00,98.09,,,In-Store,false
100610,36,2024-10-29,Store,1001,Credit Card,,149.97,0.00,7.0,0.00,156.97,,,In-Store,false
100760,85,2024-11-18,Store,1020,Credit Card,,389.98,4.80,3.4,0.00,388.58,,,In-Store,false
100774,29,2024-11-25,Store,1038,Credit Card,,85.98,0.00,7.5,0.00,93.48,,,In-Store,false
100939,61,2024-12-28,Store,1006,Debit Card,,192.98,7.29,8.5,0.00,194.19,,,In-Store,false
100964,51,2024-12-02,Store,1025,Credit Card,,212.98,6.84,9.9,0.00,216.04,,,In-Store,false
101012,28,2024-12-26,Store,1006,Credit Card,,119.98,3.30,11.0,0.00,127.68,,,In-Store,false
101018,100,2024-12-10,Store,1031,Credit Card,,134.99,0.00,3.9,0.00,138.89,,,In-Store,false
101042,35,2024-12-26,Store,1005,Credit Card,,69.99,0.00,9.5,0.00,79.49,,,In-Store,false
101057,82,2024-12-17,Store,1001,Credit Card,,74.99,5.25,5.1,0.00,74.84,,,In-Store,false
101058,40,2024-12-22,Store,1012,Credit Card,,459.98,0.00,14.6,0.00,474.58,,,In-Store,false
101062,68,2024-12-30,Store,1031,Apple Pay,,134.99,0.00,3.7,0.00,138.69,,,In-Store,false
101132,64,2025-01-22,Store,1009,Credit Card,,189.99,19.00,3.3,0.00,174.29,,,In-Store,false
101148,9,2025-01-28,Store,1032,Credit Card,,139.99,0.00,7.4,0.00,147.39,,,In-Store,false
101149,53,2025-01-14,Store,1009,Credit Card,,229.99,0.00,15.3,0.00,245.29,,,In-Store,false
101151,56,2025-01-03,Store,1020,Credit Card,,84.99,8.50,6.0,0.00,82.49,,,In-Store,false
101159,25,2025-01-12,Store,1025,Apple Pay,,134.99,12.15,6.0,0.00,128.84,,,In-Store,false
101167,27,2025-01-22,Store,1025,Credit Card,,224.98,14.45,7.4,0.00,217.93,,,In-Store,false
101181,14,2025-01-05,Store,1026,Credit Card,,689.97,34.50,11.8,0.00,667.27,,,In-Store,false
101188,18,2025-01-16,Store,1014,Credit Card,,119.98,9.60,4.1,0.00,114.48,,,In-Store,false
101192,17,2025-01-01,Store,1036,Google Pay,,172.98,16.77,3.6,0.00,159.81,,,In-Store,false
101204,62,2025-01-22,Store,1035,Credit Card,,259.98,13.60,12.6,0.00,258.98,,,In-Store,false
101205,71,2025-01-03,Store,1011,Credit Card,,44.99,0.45,2.7,0.00,47.24,,,In-Store,false
101226,87,2025-01-12,Store,1021,Credit Card,,164.99,0.00,5.5,0.00,170.49,,,In-Store,false
101275,42,2025-02-28,Store,1002,PayPal,,94.99,0.00,6.1,0.00,101.09,,,In-Store,false
101276,76,2025-02-24,Store,1023,Credit Card,,264.98,0.00,12.6,0.00,277.58,,,In-Store,false
101293,82,2025-02-26,Store,1043,Credit Card,,319.97,8.70,9.0,0.00,320.27,,,In-Store,true
101295,28,2025-02-11,Store,1005,Credit Card,,719.95,45.30,10.0,0.00,684.65,,,In-Store,false
101306,73,2025-02-28,Store,1020,PayPal,,177.97,3.96,2.9,0.00,176.91,,,In-Store,false
101309,11,2025-02-16,Store,1047,Debit Card,,89.99,0.00,4.4,0.00,94.39,,,In-Store,false
101340,61,2025-02-28,Store,1003,Credit Card,,94.99,0.00,5.0,0.00,99.99,,,In-Store,false
101344,11,2025-02-20,Store,1032,Credit Card,,189.99,5.70,4.4,0.00,188.69,,,In-Store,false
101346,85,2025-02-11,Store,1022,Credit Card,,74.99,7.50,9.4,0.00,76.89,,,In-Store,false
101347,51,2025-02-13,Store,1045,Credit Card,,179.97,3.60,8.2,0.00,184.57,,,In-Store,false
101354,11,2025-02-25,Store,1031,Credit Card,,159.99,0.00,4.4,0.00,164.39,,,In-Store,false
101360,54,2025-02-17,Store,1042,Credit Card,,329.96,2.80,6.0,0.00,333.16,,,In-Store,false
101367,48,2025-02-25,Store,1025,Credit Card,,204.98,5.20,3.4,0.00,203.18,,,In-Store,false
101383,35,2025-02-23,Store,1001,Credit Card,,99.99,3.00,10.4,0.00,107.39,,,In-Store,false
101385,11,2025-02-05,Store,1031,Apple Pay,,139.99,0.00,11.1,0.00,151.09,,,In-Store,false
101397,78,2025-02-15,Store,1043,Google Pay,,249.99,0.00,5.3,0.00,255.29,,,In-Store,false
101404,39,2025-02-10,Store,1033,Credit Card,,77.98,1.40,13.2,0.00,89.78,,,In-Store,false
101416,1,2025-02-01,Store,1015,Credit Card,,299.98,12.80,5.8,0.00,292.98,,,In-Store,false
101420,57,2025-02-11,Store,1027,Credit Card,,399.96,0.00,13.6,0.00,413.56,,,In-Store,false
101427,67,2025-02-04,Store,1001,Credit Card,,134.99,0.00,8.3,0.00,143.29,,,In-Store,false
101494,28,2025-03-10,Store,1006,Credit Card,,234.97,20.95,12.1,0.00,226.12,,,In-Store,false
101500,44,2025-03-24,Store,1008,Credit Card,,299.99,30.00,3.4,0.00,273.39,,,In-Store,false
101510,27,2025-03-08,Store,1041,Credit Card,,39.99,0.00,5.6,0.00,45.59,,,In-Store,false
