TRANSACTION_ID,CUSTOMER_ID,ORDER_DATE,CHANNEL,STORE_ID,PAYMENT_METHOD,SUBTOTAL,DISCOUNT_AMOUNT,TAX_AMOUNT,SHIPPING_AMOUNT,TOTAL_AMOUNT,PROMO_CODE_USED,DEVICE_TYPE,FULFILLMENT_METHOD,RETURN_FLAG
100007,78,2024-07-14,Store,1005.0,Credit Card,229.99,2.3,4.3,0.0,231.99,N/A,InStore,In-Store,False
100093,22,2024-07-15,Store,1047.0,Credit Card,184.98,0.0,11.5,0.0,196.48,N/A,InStore,In-Store,False
100040,28,2024-07-17,Store,1002.0,Debit Card,879.95,67.9,2.8,0.0,814.85,N/A,InStore,In-Store,False
100090,86,2024-07-29,Store,1036.0,Credit Card,149.99,0.0,12.7,0.0,162.69,N/A,InStore,In-Store,False
100166,48,2024-08-21,Store,1023.0,PayPal,49.99,3.0,4.8,0.0,51.79,N/A,InStore,In-Store,False
100059,85,2024-07-22,Store,1020.0,Credit Card,159.99,9.6,12.7,0.0,163.09,N/A,InStore,In-Store,False
100065,100,2024-07-29,Store,1047.0,Credit Card,139.99,0.0,9.7,0.0,149.69,N/A,InStore,In-Store,False
100101,59,2024-07-03,Store,1045.0,Google Pay,59.99,0.0,8.0,0.0,67.99,N/A,InStore,In-Store,False
100103,93,2024-07-21,Store,1020.0,Google Pay,69.99,0.0,5.8,0.0,75.79,N/A,InStore,In-Store,False
100079,11,2024-07-27,Store,1030.0,Credit Card,259.98,0.0,6.2,0.0,266.18,N/A,InStore,In-Store,False
100080,56,2024-07-03,Store,1044.0,PayPal,44.99,2.25,5.2,0.0,47.94,N/A,InStore,In-Store,False
100183,73,2024-08-29,Store,1016.0,Credit Card,269.97,20.0,7.4,0.0,257.37,N/A,InStore,In-Store,False
100186,84,2024-08-03,Store,1029.0,Credit Card,74.99,3.75,5.0,0.0,76.24,N/A,InStore,In-Store,False
100193,29,2024-08-08,Store,1002.0,Credit Card,169.99,13.6,4.9,0.0,161.29,N/A,InStore,In-Store,False
100207,59,2024-08-21,Store,1025.0,Credit Card,229.99,0.0,15.8,0.0,245.79,N/A,InStore,In-Store,False
100208,46,2024-08-25,Store,1016.0,Credit Card,44.99,0.45,9.4,0.0,53.94,N/A,InStore,In-Store,False
100209,28,2024-08-30,Store,1038.0,Apple Pay,59.99,1.8,6.2,0.0,64.39,N/A,InStore,In-Store,False
100213,81,2024-08-13,Store,1028.0,Credit Card,209.97,0.0,2.6,0.0,212.57,N/A,InStore,In-Store,False
100221,28,2024-08-06,Store,1002.0,Credit Card,154.97,2.4,4.2,0.0,156.77,N/A,InStore,In-Store,False
100232,46,2024-08-12,Store,1020.0,PayPal,42.99,3.01,3.6,0.0,43.58,N/A,InStore,In-Store,False
100244,35,2024-08-25,Store,1005.0,Google Pay,139.99,9.8,3.9,0.0,134.09,N/A,InStore,In-Store,False
100253,1,2024-08-05,Store,1022.0,Credit Card,229.98,0.0,5.7,0.0,235.68,N/A,InStore,In-Store,False
100257,64,2024-08-18,Store,1009.0,Debit Card,279.98,0.0,2.6,0.0,282.58,N/A,InStore,In-Store,False
100275,27,2024-08-31,Store,1027.0,Google Pay,184.98,9.5,5.6,0.0,181.08,N/A,InStore,In-Store,False
100290,2,2024-08-03,Store,1004.0,Credit Card,334.96,6.45,6.6,0.0,335.11,N/A,InStore,In-Store,False
100301,73,2024-08-30,Store,1021.0,Credit Card,279.98,0.0,2.7,0.0,282.68,N/A,InStore,In-Store,False
100361,18,2024-09-13,Store,1044.0,Credit Card,94.99,0.0,7.6,0.0,102.59,N/A,InStore,In-Store,False
100365,91,2024-09-14,Store,1019.0,Credit Card,84.99,8.5,5.0,0.0,81.49,N/A,InStore,In-Store,False
100376,22,2024-09-03,Store,1037.0,Credit Card,94.99,0.0,3.9,0.0,98.89,N/A,InStore,In-Store,False
100387,30,2024-09-13,Store,1028.0,Credit Card,94.99,0.0,4.4,0.0,99.39,N/A,InStore,In-Store,False
100409,39,2024-09-15,Store,1032.0,Credit Card,244.97,1.8,2.5,0.0,245.67,N/A,InStore,In-Store,False
100413,2,2024-09-30,Store,1003.0,Credit Card,459.97,7.1,4.3,0.0,457.17,N/A,InStore,In-Store,False
100470,59,2024-09-06,Store,1028.0,Credit Card,304.96,5.4,15.9,0.0,315.46,N/A,InStore,In-Store,False
100192,64,2024-08-22,Store,1046.0,Credit Card,279.98,0.0,3.7,0.0,283.68,N/A,InStore,In-Store,False
100217,30,2024-08-11,Store,1024.0,Apple Pay,44.99,0.0,4.9,0.0,49.89,N/A,InStore,In-Store,False
100370,36,2024-09-30,Store,1004.0,Credit Card,94.99,1.9,7.0,0.0,100.09,N/A,InStore,In-Store,False
100389,55,2024-09-19,Store,1037.0,Credit Card,74.99,0.0,5.2,0.0,80.19,N/A,InStore,In-Store,False
100396,6,2024-09-23,Store,1038.0,Credit Card,149.97,6.0,7.7,0.0,151.67,N/A,InStore,In-Store,False
100430,61,2024-09-05,Store,1002.0,Credit Card,134.99,9.45,8.2,0.0,133.74,N/A,InStore,In-Store,False
100443,44,2024-09-29,Store,1012.0,Credit Card,369.97,0.0,14.2,0.0,384.17,N/A,InStore,In-Store,False
100472,100,2024-09-02,Store,1047.0,Credit Card,212.98,1.29,14.8,0.0,226.49,N/A,InStore,In-Store,False
100475,77,2024-09-06,Store,1019.0,Apple Pay,169.98,8.5,3.3,0.0,164.78,N/A,InStore,In-Store,False
100478,40,2024-09-30,Store,1007.0,Google Pay,209.98,0.0,9.8,0.0,219.78,N/A,InStore,In-Store,False
100537,69,2024-10-01,Store,1026.0,Credit Card,89.99,0.0,14.4,0.0,104.39,N/A,InStore,In-Store,False
100542,92,2024-10-24,Store,1017.0,Credit Card,94.99,0.0,4.7,0.0,99.69,N/A,InStore,In-Store,False
100559,91,2024-10-17,Store,1021.0,PayPal,159.99,0.0,6.4,0.0,166.39,N/A,InStore,In-Store,False
100575,53,2024-10-07,Store,1046.0,Credit Card,269.98,5.5,3.9,0.0,268.38,N/A,InStore,In-Store,False
100582,77,2024-10-10,Store,1018.0,Debit Card,429.98,0.0,7.7,0.0,437.68,N/A,InStore,In-Store,False
100588,70,2024-10-04,Store,1046.0,Credit Card,129.99,0.0,5.0,0.0,134.99,N/A,InStore,In-Store,False
100606,70,2024-10-02,Store,1046.0,Credit Card,317.96,13.0,6.7,0.0,311.66,N/A,InStore,In-Store,False
100608,54,2024-10-17,Store,1037.0,Credit Card,89.99,7.2,7.8,0.0,90.59,N/A,InStore,In-Store,False
100615,9,2024-10-11,Store,1036.0,Google Pay,274.97,0.0,5.5,0.0,280.47,N/A,InStore,In-Store,False
100623,60,2024-10-06,Store,1012.0,Credit Card,154.98,7.0,3.9,0.0,151.88,N/A,InStore,In-Store,False
100624,54,2024-10-14,Store,1031.0,Credit Card,99.99,0.0,6.6,0.0,106.59,N/A,InStore,In-Store,False
100632,18,2024-10-06,Store,1040.0,Credit Card,299.98,0.0,14.4,0.0,314.38,N/A,InStore,In-Store,False
100645,37,2024-10-22,Store,1025.0,Credit Card,99.99,20.0,11.0,0.0,90.99,N/A,InStore,In-Store,False
100652,59,2024-10-23,Store,1025.0,Credit Card,229.99,0.0,6.8,0.0,236.79,N/A,InStore,In-Store,False
100654,59,2024-10-05,Store,1045.0,Credit Card,84.99,0.0,9.4,0.0,94.39,N/A,InStore,In-Store,False
100662,38,2024-10-07,Store,1003.0,Credit Card,309.98,0.0,3.6,0.0,313.58,N/A,InStore,In-Store,False
100665,12,2024-10-08,Store,1047.0,Credit Card,494.97,27.4,4.5,0.0,472.07,N/A,InStore,In-Store,False
100744,91,2024-11-18,Store,1015.0,Credit Card,319.97,6.3,3.8,0.0,317.47,N/A,InStore,In-Store,False
100757,14,2024-11-10,Store,1024.0,Credit Card,109.98,1.4,10.0,0.0,118.58,N/A,InStore,In-Store,False
100763,30,2024-11-13,Store,1028.0,Credit Card,599.98,0.0,13.3,0.0,613.28,N/A,InStore,In-Store,False
100767,90,2024-11-01,Store,1003.0,Credit Card,44.99,0.9,6.8,0.0,50.89,N/A,InStore,In-Store,False
100768,24,2024-11-25,Store,1032.0,Credit Card,129.99,16.9,2.7,0.0,115.79,N/A,InStore,In-Store,False
100787,38,2024-11-03,Store,1038.0,Credit Card,129.99,0.0,13.8,0.0,143.79,N/A,InStore,In-Store,False
100793,49,2024-11-05,Store,1039.0,Credit Card,354.97,0.0,6.9,0.0,361.87,N/A,InStore,In-Store,False
100803,78,2024-11-04,Store,1043.0,Credit Card,319.97,15.6,11.4,0.0,315.77,N/A,InStore,In-Store,False
100811,31,2024-11-26,Store,1010.0,Credit Card,299.99,0.0,12.7,0.0,312.69,N/A,InStore,In-Store,False
100843,75,2024-11-07,Store,1038.0,Credit Card,89.99,7.2,3.6,0.0,86.39,N/A,InStore,In-Store,False
100849,91,2024-11-05,Store,1020.0,Google Pay,374.96,9.2,4.2,0.0,369.96,N/A,InStore,In-Store,False
100851,70,2024-11-28,Store,1039.0,Credit Card,119.98,22.2,3.1,0.0,100.88,N/A,InStore,In-Store,False
100856,28,2024-11-14,Store,1004.0,Credit Card,49.99,3.5,4.5,0.0,50.99,N/A,InStore,In-Store,False
100861,78,2024-11-27,Store,1005.0,Credit Card,84.99,0.0,3.1,0.0,88.09,N/A,InStore,In-Store,False
100873,42,2024-11-21,Store,1004.0,Credit Card,289.96,35.2,14.6,0.0,269.36,N/A,InStore,In-Store,False
100949,72,2024-12-29,Store,1016.0,Credit Card,229.99,6.9,2.5,0.0,225.59,N/A,InStore,In-Store,False
100970,97,2024-12-05,Store,1047.0,Credit Card,169.98,3.4,11.3,0.0,177.88,N/A,InStore,In-Store,False
100976,32,2024-12-12,Store,1012.0,Credit Card,159.99,3.2,13.5,0.0,170.29,N/A,InStore,In-Store,False
100988,57,2024-12-22,Store,1025.0,Google Pay,434.98,27.0,9.9,0.0,417.88,N/A,InStore,In-Store,False
